,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF2814-FOSB,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.0,0.3076923076923077
TFORF3188-ZNF394,0.0,0.0,0.058823529411764705,0.29411764705882354,0.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.0,0.0,0.058823529411764705
TFORF0892-ING4,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.0,0.0,0.14285714285714285
TFORF1042-TSC22D1,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727
TFORF2419-ZNF268,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.1
TFORF3487-NFATC1,0.0,0.0,0.041666666666666664,0.125,0.0,0.125,0.125,0.375,0.125,0.0,0.0,0.08333333333333333
TFORF1728-ZNF695,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.18181818181818182
TFORF1340-POU5F1,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.0,0.0,0.0,0.17647058823529413
TFORF1926-ZBTB25,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,0.36363636363636365
TFORF0642-NR1I3,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333
TFORF2551-BID,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.0,0.0,0.3076923076923077
TFORF1657-SPIB,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.42857142857142855
TFORF0694-HNF4A,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0
TFORF2308-ETV1,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.3333333333333333
TFORF0111-SMAD7,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.3076923076923077
TFORF0718-TEF,0.17647058823529413,0.0,0.0,0.23529411764705882,0.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.11764705882352941
TFORF0100-NOV,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
TFORF1515-NANOGNB,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.0,0.07692307692307693
TFORF2296-TAF11,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.2857142857142857
TFORF1507-HEY1,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077
TFORF0778-SHOX,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2777777777777778,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.0,0.16666666666666666
TFORF0080-KCNIP3,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.6
TFORF0798-ATF3,0.1875,0.0625,0.0,0.0,0.0,0.125,0.1875,0.125,0.1875,0.0,0.0,0.125
TFORF0395-ZNF7,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.0,0.0,0.35294117647058826
TFORF2064-NKX2-5,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.2,0.13333333333333333,0.2,0.0,0.0,0.13333333333333333
